day,cell,LED V,LED on,holding,dI
units,number,V,ms,mV,pA
20140305,1,0,50,-20,82.215821
20140305,1,0,50,-30,41.859436
20140305,1,0,50,-40,13.648804
20140305,1,0,50,-50,-13.018097
20140305,1,0,50,-60,-48.778931
20140305,1,0,50,-70,-80.642924
20140305,1,0,50,-80,-107.946278
20140305,1,0,50,-20,100.376098
20140305,1,0,50,-30,39.256226
20140305,1,0,50,-40,27.352265
20140305,1,0,50,-50,-2.566208
20140305,1,0,50,-60,-30.682156
20140305,1,0,50,-70,-67.627253
20140305,1,0,50,-80,-98.897598
20140305,8,0,50,-20,138.66211
20140305,8,0,50,-30,90.505097
20140305,8,0,50,-40,50.486084
20140305,8,0,50,-50,10.925598
20140305,8,0,50,-60,-31.589489
20140305,8,0,50,-70,-77.040943
20140305,8,0,50,-80,-103.027958
20140305,10,0,1000,-20,184.799865
20140305,10,0,50,-30,85.236451
20140305,10,0,50,-40,27.213776
20140305,10,0,50,-50,-43.972641
20140305,10,0,50,-60,-96.180466
20140305,10,0,50,-70,-139.670288
20140305,10,0,50,-80,-162.890991
20140226,14,0,500,-20,83.071579
20140226,14,0,500,-30,61.284458
20140226,14,0,500,-40,18.388889
20140226,14,0,500,-50,-14.27311
20140226,14,0,500,-60,-47.901352
20140226,14,0,500,-70,-89.70192
